url,name
/assets/smiley/emoji_u1f601.svg,grinning face with smiling eyes
/assets/smiley/emoji_u1f602.svg,face with tears of joy
/assets/smiley/emoji_u1f603.svg,smiling face with open mouth
/assets/smiley/emoji_u1f604.svg,smiling face with open mouth and smiling eyes
/assets/smiley/emoji_u1f605.svg,smiling face with open mouth and cold sweat
/assets/smiley/emoji_u1f606.svg,smiling face with open mouth and tightly-closed eyes
/assets/smiley/emoji_u1f609.svg,winking face
/assets/smiley/emoji_u1f60a.svg,smiling face with smiling eyes
/assets/smiley/emoji_u1f60b.svg,face savouring delicious food
/assets/smiley/emoji_u1f60c.svg,relieved face
/assets/smiley/emoji_u1f60d.svg,smiling face with heart-shaped eyes
/assets/smiley/emoji_u1f60f.svg,smirking face
/assets/smiley/emoji_u1f612.svg,unamused face
/assets/smiley/emoji_u1f613.svg,face with cold sweat
/assets/smiley/emoji_u1f614.svg,pensive face
/assets/smiley/emoji_u1f616.svg,confounded face
/assets/smiley/emoji_u1f618.svg,face throwing a kiss
/assets/smiley/emoji_u1f61a.svg,kissing face with closed eyes
/assets/smiley/emoji_u1f61c.svg,face with stuck-out tongue and winking eye
/assets/smiley/emoji_u1f61d.svg,face with stuck-out tongue and tightly-closed eyes
/assets/smiley/emoji_u1f61e.svg,disappointed face
/assets/smiley/emoji_u1f620.svg,angry face
/assets/smiley/emoji_u1f621.svg,pouting face
/assets/smiley/emoji_u1f622.svg,crying face
/assets/smiley/emoji_u1f623.svg,persevering face
/assets/smiley/emoji_u1f624.svg,face with look of triumph
/assets/smiley/emoji_u1f625.svg,disappointed but relieved face
/assets/smiley/emoji_u1f628.svg,fearful face
/assets/smiley/emoji_u1f629.svg,weary face
/assets/smiley/emoji_u1f62a.svg,sleepy face
/assets/smiley/emoji_u1f62b.svg,tired face
/assets/smiley/emoji_u1f62d.svg,loudly crying face
/assets/smiley/emoji_u1f630.svg,face with open mouth and cold sweat
/assets/smiley/emoji_u1f631.svg,face screaming in fear
/assets/smiley/emoji_u1f632.svg,astonished face
/assets/smiley/emoji_u1f633.svg,flushed face
/assets/smiley/emoji_u1f635.svg,dizzy face
/assets/smiley/emoji_u1f637.svg,face with medical mask
/assets/smiley/emoji_u1f645.svg,face with no good gesture
/assets/smiley/emoji_u1f646.svg,face with ok gesture
/assets/smiley/emoji_u1f647.svg,person bowing deeply
/assets/smiley/emoji_u1f64b.svg,happy person raising one hand
/assets/smiley/emoji_u1f64c.svg,person raising both hands in celebration
/assets/smiley/emoji_u1f64d.svg,person frowning
/assets/smiley/emoji_u1f64e.svg,person with pouting face
/assets/smiley/emoji_u1f64f.svg,person with folded hands
